nombre;apellido;pais;fecha_de_nacimiento;informacion_de_contacto;id_equipo
Agustin;Martilotta;Argentina;1999/06/08;mail1@hotmail.com;1
Pedro;Pascal;Argentina;1998/07/11;mail2@hotmail.com;1
Arturo;Fontar;Argentina;1993/11/06;mail3@hotmail.com;1

Rodrigo;Iglesias;Argentina;1991/01/01;mail4@hotmail.com;2
Diego;Russo;Chile;1996/09/01;mail5@hotmail.com;2
Cristian;Sanchez;Uruguay;1997/12/12;mail6@hotmail.com;2

Florencia;Castelli;Paraguay;2000/06/04;mail7@hotmail.com;3
Esteban;Rogers;Chile;2002/08/03;mail8@hotmail.com;3
Ivan;Britos;Brasil;2001/10/07;mail9@hotmail.com;3
